state/district,TOTAL 2012,Republican % 2012,REPUBLICAN 2012,Democrat % 2012,DEMOCRAT 2012,OTHER 2012,Comp. 2012,TOTAL 2016,Republican % 2016,REPUBLICAN 2016,Democrat % 2010,DEMOCRAT 2016,OTHER 2016,Comp. 2016,TOTAL 2020,Republican % 2020,REPUBLICAN 2020,Democrat % 2020,DEMOCRAT 2020,OTHER 2020,Comp. 2020,Min(Comp),Max(Comp),StdDev(Comp),Mean(Comp),Prediction(538) Republican,Prediction(538) Democrat,Prediction(538) Other,Predicted_Comp
CALIFORNIA 50,258293,0.676897941,174838,0.323102059,83455,0,0.676897941,283583,0.634512647,179937,0.365487353,103646,0,0.634512647,362390,0.539531996,195521,0.460468004,166869,0,0.539531996,0.539531996,0.676897941,0.057433285,0.616980861,0.95,0.05,0,0.95
CALIFORNIA 51,159398,0.285223152,45464,0.714776848,113934,0,0.714776848,199524,0.272458451,54362,0.727541549,145162,0,0.727541549,242437,0.316952445,76841,0.683047555,165596,0,0.683047555,0.683047555,0.727541549,0.018706509,0.708455317,0.01,0.99,0,0.99
CALIFORNIA 52,295910,0.488185597,144459,0.511814403,151451,0,0.511814403,320656,0.434743152,139403,0.565256848,181253,0,0.565256848,396495,0.38424192,152350,0.61575808,244145,0,0.61575808,0.511814403,0.61575808,0.042440491,0.564276444,0.01,0.99,0,0.99
CALIFORNIA 53,268307,0.385685055,103482,0.614314945,164825,0,0.614314945,296956,0.329907461,97968,0.670092539,198988,0,0.670092539,334858,0,0,1,334858,0,1,0.614314945,1,0.170196956,0.761469161,0,1,0,1
CALIFORNIA 6,214073,0.249475646,53406,0.750524354,160667,0,0.750524354,235413,0.245729845,57848,0.754270155,177565,0,0.754270155,313114,0.266567448,83466,0.733432552,229648,0,0.733432552,0.733432552,0.754270155,0.009069892,0.746075687,0.01,0.99,0,0.99
CALIFORNIA 7,273291,0.483184591,132050,0.516815409,141241,0,0.516815409,297301,0.488286282,145168,0.511713718,152133,0,0.511713718,383965,0.43376089,166549,0.56623911,217416,0,0.56623911,0.511713718,0.56623911,0.024589401,0.531589412,0.01,0.99,0,0.99
CALIFORNIA 8,179644,1,179644,0,0,0,1,220007,0.622580191,136972,0.377419809,83035,0,0.622580191,283111,0.560596374,158711,0.439403626,124400,0,0.560596374,0.560596374,1,0.194182976,0.727725521,0.97,0.03,0,0.97
CALIFORNIA 9,213077,0.444459045,94704,0.555540955,118373,0,0.555540955,232155,0.426404773,98992,0.573595227,133163,0,0.573595227,302610,0.424169723,128358,0.575830277,174252,0,0.575830277,0.555540955,0.575830277,0.009083616,0.568322153,0.99,0.01,0,0.99
COLORADO 1,348210,0.267703397,93217,0.682286551,237579,17414,0.682286551,379036,0.27709769,105030,0.67870598,257254,16752,0.67870598,450290,0.235303915,105955,0.736460947,331621,12714,0.736460947,0.67870598,0.736460947,0.026422469,0.69915116,0.005,0.99,0.005,0.99
COLORADO 2,421580,0.38578443,162639,0.556852792,234758,24183,0.556852792,457312,0.371739644,170001,0.568922311,260175,27136,0.568922311,515663,0.354004456,182547,0.61459713,316925,16191,0.61459713,0.556852792,0.61459713,0.024869149,0.580124078,0.005,0.99,0.005,0.99
COLORADO 3,347247,0.533600002,185291,0.410713411,142619,19337,0.533600002,374037,0.545988766,204220,0.403473453,150914,18903,0.545988766,429319,0.513916225,220634,0.452162611,194122,14563,0.513916225,0.513916225,0.545988766,0.013205977,0.531168331,0.61,0.385,0.005,0.61
COLORADO 4,342336,0.584238876,200006,0.367475229,125800,16530,0.584238876,390633,0.635455786,248230,0.316517038,123642,18761,0.635455786,475107,0.601140375,285606,0.366117527,173945,15556,0.601140375,0.584238876,0.635455786,0.021308266,0.606945012,0.98,0.015,0.005,0.98
COLORADO 5,307231,0.649800964,199639,0,0,107592,0.649800964,361993,0.622788286,225445,0.308503203,111676,24872,0.622788286,432407,0.575876431,249013,0.37372198,161600,21794,0.575876431,0.575876431,0.649800964,0.030541854,0.616155227,0.99,0.005,0.005,0.99
COLORADO 6,342914,0.47807322,163938,0.457657022,156937,22039,0.47807322,376417,0.509079027,191626,0.42604877,160372,24419,0.509079027,438473,0.399550257,175192,0.570876656,250314,12967,0.570876656,0.47807322,0.570876656,0.038575733,0.519342967,0.015,0.98,0.005,0.98
COLORADO 7,340970,0.407854063,139066,0.535120392,182460,19444,0.535120392,362010,0.397961382,144066,0.551802436,199758,18186,0.551802436,423691,0.375983913,159301,0.591291767,250525,13865,0.591291767,0.535120392,0.591291767,0.023553535,0.559404865,0.005,0.99,0.005,0.99
CONNECTICUT 1,297061,0.277118168,82321,0.6491596,192840,21900,0.6491596,312925,0.337697531,105674,0.59765439,187021,20229,0.59765439,349237,0.34965081,122111,0.609903876,213001,14125,0.609903876,0.59765439,0.6491596,0.021969293,0.618905955,0.01,0.99,0,0.99
CONNECTICUT 2,298960,0.294698287,88103,0.633676746,189444,21413,0.633676746,330257,0.336553048,111149,0.56383362,186210,32898,0.56383362,367347,0.382080159,140356,0.564324739,207303,19688,0.564324739,0.56383362,0.633676746,0.03280922,0.587278369,0.01,0.99,0,0.99
CONNECTICUT 3,291301,0.253092162,73726,0.676835988,197163,20411,0.676835988,309379,0.30960731,95786,0.621483682,192274,21319,0.621483682,346103,0.380141172,131568,0.561275112,194259,20276,0.561275112,0.561275112,0.676835988,0.047191414,0.619864927,0.005,0.99,0.005,0.99
CONNECTICUT 4,293432,0.400443714,117503,0.570217291,167320,8609,0.570217291,313540,0.384808956,120653,0.599001722,187811,5076,0.599001722,360716,0.362132536,130627,0.622184766,224432,5657,0.622184766,0.570217291,0.622184766,0.021256673,0.597134593,0.01,0.99,0,0.99
CONNECTICUT 5,284757,0.452761477,128927,0.48332789,137631,18199,0.48332789,309082,0.404099883,124900,0.5289826,163499,20683,0.5289826,349524,0.434842815,151988,0.525849441,183797,13739,0.525849441,0.48332789,0.5289826,0.020822668,0.512719977,0.03,0.97,0,0.97
DELAWARE 0,388059,0.334374412,129757,0.64405928,249933,8369,0.64405928,420617,0.409638697,172301,0.555265241,233554,14762,0.555265241,488270,0.402220083,196392,0.576283614,281382,10496,0.576283614,0.555265241,0.64405928,0.037888277,0.591869378,0.005,0.99,0.005,0.99
FLORIDA 1,342594,0.695984168,238440,0.271344507,92961,11193,0.695984168,369186,0.690998575,255107,0.309001425,114079,0,0.690998575,438562,0.646093369,283352,0.340138909,149172,6038,0.646093369,0.646093369,0.695984168,0.022436145,0.677692037,0.99,0.005,0.005,0.99
FLORIDA 10,318269,0.517326538,164649,0.48252893,153574,46,0.517326538,305989,0.351313283,107498,0.648686717,198491,0,0.648686717,376397,0.363682495,136889,0.636120904,239434,74,0.636120904,0.517326538,0.648686717,0.059184737,0.600711387,0.01,0.99,0,0.99
FLORIDA 11,338663,0.64477076,218360,0.35522924,120303,0,0.64477076,394719,0.653670079,258016,0.315953881,124713,11990,0.653670079,475073,0.667221669,316979,0.332778331,158094,0,0.667221669,0.64477076,0.667221669,0.009230907,0.655220836,0.99,0.01,0,0.99
FLORIDA 12,330167,0.634842368,209604,0.329439344,108770,11793,0.634842368,369669,0.685908204,253559,0.314091796,116110,0,0.685908204,453135,0.628821433,284941,0.371178567,168194,0,0.628821433,0.628821433,0.685908204,0.025610048,0.649857335,0.99,0.01,0,0.99
FLORIDA 13,329347,0.575699794,189605,0.424300206,139742,0,0.575699794,355842,0.480969082,171149,0.519030918,184693,0,0.519030918,406125,0.469591874,190713,0.53039089,215405,7,0.53039089,0.519030918,0.575699794,0.024479713,0.541707201,0.02,0.98,0,0.98
FLORIDA 14,280601,0.297504285,83480,0.702495715,197121,0,0.702495715,316877,0.382129344,121088,0.617870656,195789,0,0.617870656,372136,0.397424597,147896,0.602575403,224240,0,0.602575403,0.602575403,0.702495715,0.043943668,0.640980591,0.01,0.99,0,0.99
FLORIDA 15,1,1,1,0,0,0,1,318474,0.574612056,182999,0.425387944,135475,0,0.574612056,390671,0.553852218,216374,0.446147782,174297,0,0.553852218,0.553852218,1,0.205597697,0.709488092,0.81,0.19,0,0.81
FLORIDA 16,349076,0.536121074,187147,0.463878926,161929,0,0.536121074,385916,0.597679288,230654,0.402320712,155262,0,0.597679288,484684,0.555002847,269001,0.444997153,215683,0,0.555002847,0.536121074,0.597679288,0.025749247,0.562934403,0.9,0.1,0,0.9
FLORIDA 17,282266,0.58628386,165488,0.413673627,116766,12,0.58628386,338675,0.618138333,209348,0.342434487,115974,13353,0.618138333,412397,0.646255914,266514,0.340659607,140487,5396,0.646255914,0.58628386,0.646255914,0.024499327,0.616892702,0.99,0.005,0.005,0.99
